Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
56,-0.140925,-2.4932,-3.47828,0.767721,1188.13,-39.0028,75.7179,1155.56,658.119,0,0,0.00120473,0.0001817,0.0303208,1.41744,-0.107033,1.43299,0,0,1.01E+06,1.01E+06,0.0893544,0.035861
57,-0.152814,-2.49361,-3.48084,0.779889,1210.49,-43.4223,80.5889,1167.17,639.576,0,0,0.00120473,0.0001817,0.0379794,1.46135,-0.114323,1.48158,0,0,1.01E+06,1.01E+06,0.0910975,0.0365357
58,-0.164703,-2.49402,-3.4834,0.792057,1195.71,-39.0129,93.5974,1151.52,641.183,0,0,0.00120473,0.0001817,0.0367316,1.65331,-0.0931569,1.68124,0,0,1.01E+06,1.01E+06,0.0867824,0.0360895
59,-0.176592,-2.49443,-3.48595,0.804224,1186.12,-32.0664,108.929,1137.09,646.242,0,0,0.00120473,0.0001817,-0.00718022,2.27723,0.0208183,2.31433,0,0,1.01E+06,1.01E+06,0.0831071,0.0358001
60,-0.188481,-2.49485,-3.48851,0.816392,1217.31,-39.2231,125.718,1151.65,668.73,0,0,0.00120473,0.0001817,-0.142167,3.87579,0.313702,3.92334,0,0,1.01E+06,1.01E+06,0.0821702,0.0367414
61,-0.20037,-2.49526,-3.49106,0.82856,1229.49,-48.8442,151.59,1166.42,690.915,0,0,0.00120473,0.0001817,-0.271691,5.695,0.732809,5.76669,0,0,1.01E+06,1.01E+06,0.0793108,0.0371092
62,-0.20346,-2.49526,-3.50229,0.840203,1227.03,-46.4219,117.849,1160.38,661.945,0,0,0.00120473,0.0001817,-0.17311,4.10636,0.412475,4.16659,0,0,1.01E+06,1.01E+06,0.083152,0.0370348
63,-0.206549,-2.49526,-3.51352,0.851847,1212.17,-44.5811,90.5693,1157.69,636.138,0,0,0.00120473,0.0001817,-0.0534624,2.69632,0.116132,2.74443,0,0,1.01E+06,1.01E+06,0.0860412,0.0365864
64,-0.209639,-2.49526,-3.52474,0.86349,1197.85,-43.4321,69.1271,1160.79,615.584,0,0,0.00120473,0.0001817,0.0420345,1.78239,-0.0637282,1.82168,0,0,1.01E+06,1.01E+06,0.089301,0.0361543
65,-0.212728,-2.49525,-3.53597,0.875134,1202.49,-43.0244,52.4037,1171.02,600.346,0,0,0.00120473,0.0001817,0.0516933,1.59652,-0.0502998,1.63337,0,0,1.01E+06,1.01E+06,0.0942318,0.0362942
66,-0.215818,-2.49525,-3.54719,0.886777,1205.78,-42.8447,40.1746,1183.02,585.257,0,0,0.00120473,0.0001817,0.0551653,1.44396,-0.0445054,1.47548,0,0,1.01E+06,1.02E+06,0.0985087,0.0363937
67,-0.218907,-2.49525,-3.55842,0.898421,1208.1,-42.8624,32.2517,1196.95,570.387,0,0,0.00120473,0.0001817,0.0528559,1.32189,-0.0459544,1.3454,0,0,1.01E+06,1.02E+06,0.102231,0.0364635
68,-0.221997,-2.49525,-3.56965,0.910064,1215.92,-43.5095,28.5547,1212.41,559.262,0,0,0.00120473,0.0001817,0.0475827,1.27206,-0.0520426,1.29013,0,0,1.01E+06,1.02E+06,0.104637,0.0366996
69,-0.225086,-2.49525,-3.58087,0.921708,1231.09,-44.7588,26.0748,1227.78,552.428,0,0,0.00120473,0.0001817,0.0438517,1.28345,-0.0572336,1.30161,0,0,1.01E+06,1.02E+06,0.105891,0.0371574
70,-0.228176,-2.49525,-3.5921,0.933351,1246.26,-46.0081,23.595,1243.15,545.594,0,0,0.00120473,0.0001817,0.0401207,1.29484,-0.0624246,1.31309,0,0,1.01E+06,1.02E+06,0.107144,0.0376152
71,-0.231265,-2.49525,-3.60333,0.944995,1258.16,-47.1316,21.9294,1255.27,536.978,0,0,0.00120473,0.0001817,0.0358945,1.30607,-0.0668472,1.32428,0,0,1.01E+06,1.02E+06,0.108067,0.0379746
72,-0.234354,-2.49524,-3.61455,0.956638,1254.17,-47.6423,24.2326,1251.51,519.681,0,0,0.00120473,0.0001817,0.0292547,1.3165,-0.0675249,1.334,0,0,1.01E+06,1.02E+06,0.107375,0.037854
